route_id,agency_id,route_short_name,route_long_name,route_type,route_desc,route_code
1,1,1,KADIKÖY - KİRAZLITEPE,3,,1_D_D0
2,1,1,KADIKÖY - KİRAZLITEPE,3,SAATLER FERAH CADDESİNDEN GİDER.,1_D_D2784
3,1,1,KİRAZLITEPE - KADIKÖY,3,,1_G_D0
4,1,1,KİRAZLITEPE - KADIKÖY,3,SAATLER FERAH CADDESİNDEN GİDER.,1_G_D2783
5,1,1,KİRAZLITEPE - KADIKÖY,3,,1_G_D2900
6,1,1,KİRAZLITEPE - KADIKÖY,3,,1_G_D2975
7,1,10,ÜSTBOSTANCI - ÜMRANİYE DEVLET HASTANESİ ACİL,3,,10_D_D0
9,1,10,ÜMRANİYE EĞİTİM ARAŞTIRMA HASTANESİ - ÜSTBOSTANCI,3,,10_G_D2175
10,1,10A,48.SOKAK - ESATPAŞA,3,,10A_D_D0
11,1,10A,48.SOKAK - ESATPAŞA,3,SEFERLER KARLIDERE CAD.,10A_D_D1384
12,1,10A,48.SOKAK - ESATPAŞA,3,,10A_D_D2938
13,1,10A,ESATPAŞA - 48.SOKAK,3,,10A_G_D0
14,1,10A,ESATPAŞA - 48.SOKAK,3,SEFERLER KARLIDERE CAD.,10A_G_D1385
15,1,10A,ESATPAŞA - 48.SOKAK,3,,10A_G_D2937
16,1,10B,İSKELE - ÜSTBOSTANCI,3,,10B_D_D0
17,1,10B,ÜSTBOSTANCI - İSKELE,3,,10B_G_D0
18,1,10B,ÜSTBOSTANCI - İSKELE,3,,10B_G_D1580
19,1,10B,ÜSTBOSTANCI - İSKELE,3,,10B_G_D2056
20,1,10B,ÜSTBOSTANCI - İSKELE,3,,10B_G_D2091
21,1,10E,KADIKÖY - ESATPAŞA,3,,10E_D_D0
22,1,10E,KADIKÖY - ESATPAŞA,3,,10E_D_D1584
23,1,10E,ESATPAŞA - KADIKÖY,3,,10E_G_D0
24,1,10E,ESATPAŞA - KADIKÖY,3,,10E_G_D1583
25,1,10G,ELMALIKENT - KADIKÖY BELEDİYESİ,3,,10G_G_D0
26,1,10S,İSKELE - ALTBOSTANCI,3,,10S_D_D0
27,1,10S,ALTBOSTANCI - İSKELE,3,,10S_G_D0
28,1,10S,ALTBOSTANCI - ALTBOSTANCI,3,,10S_G_D1577
